case_id,system,category,difficulty,n_drugs,error,latency_s,llm_calls,prompt_tokens,completion_tokens,safety_flags,output_words,failed,rouge1_f,rouge1_r,rouge1_p,rouge2_f,rouge2_r,rouge2_p,rougeL_f,rougeL_r,rougeL_p,bleu,chrf,fact_coverage,facts_hit,facts_total,facts_missing,fk_grade,smog,reading_ease,words,in_target_band,leak_count,abbrev_clean,leaked,structure,headings_present,has_disclaimer
G25,rule,chronic,hard,4,,0.002,0,0,0,2,848,False,0.288659793814433,0.9090909090909091,0.1715686274509804,0.16735537190082644,0.5294117647058824,0.09938650306748466,0.21030927835051547,0.6623376623376623,0.125,6.274257861193025,40.39815515817129,1.0,13,13,,6.15,8.93,72.0,825,True,0,True,,1.0,6,True
G26,rule,high_risk,hard,2,,0.001,0,0,0,3,520,False,0.34796238244514105,0.8102189781021898,0.2215568862275449,0.19811320754716982,0.4632352941176471,0.126,0.22257053291536052,0.5182481751824818,0.14171656686626746,9.156171133258963,45.4214888588624,1.0,11,11,,6.5,10.07,69.63,497,True,0,True,,1.0,6,True
G27,rule,chronic,medium,2,,0.001,0,0,0,0,372,False,0.4729458917835671,0.8489208633093526,0.3277777777777778,0.23742454728370221,0.427536231884058,0.16434540389972144,0.30861723446893785,0.5539568345323741,0.21388888888888888,11.336804258462134,49.509594709697055,1.0,11,11,,6.06,8.57,70.28,349,True,0,True,,1.0,6,True
G28,rule,chronic,medium,2,,0.001,0,0,0,1,476,False,0.3866666666666666,0.8529411764705882,0.25,0.20735785953177258,0.45925925925925926,0.13390928725701945,0.24000000000000002,0.5294117647058824,0.15517241379310345,10.65228842175712,48.24362245064627,0.9,9,10,once a day,6.89,9.97,66.83,453,True,0,True,,1.0,6,True
G29,rule,high_risk,hard,2,,0.001,0,0,0,2,495,False,0.4090909090909091,0.9130434782608695,0.26359832635983266,0.19218241042345277,0.4306569343065693,0.12368972746331237,0.2077922077922078,0.463768115942029,0.13389121338912133,8.261349273155332,46.90708258391369,1.0,11,11,,6.06,9.73,72.29,472,True,0,True,,1.0,6,True
G30,rule,antibiotic,medium,2,,0.001,0,0,0,1,443,False,0.41269841269841273,0.8602941176470589,0.271461716937355,0.22654867256637168,0.4740740740740741,0.14883720930232558,0.2751322751322751,0.5735294117647058,0.18097447795823665,10.37664395676765,47.15586957290036,1.0,10,10,,6.83,10.59,67.32,420,True,0,True,,1.0,6,True
G31,rule,chronic,hard,3,,0.001,0,0,0,3,684,False,0.3012345679012346,0.8840579710144928,0.18154761904761904,0.1584158415841584,0.46715328467153283,0.09538002980625931,0.22962962962962966,0.6739130434782609,0.13839285714285715,6.871964465543186,42.05991075112712,1.0,11,11,,6.99,10.06,67.33,661,True,0,True,,1.0,6,True
G32,rule,high_risk,hard,2,,0.002,0,0,0,3,629,False,0.3571428571428572,0.9121621621621622,0.22203947368421054,0.22015915119363394,0.564625850340136,0.13673805601317957,0.24074074074074076,0.6148648648648649,0.14967105263157895,10.318855451204659,46.161900950690935,1.0,14,14,,6.42,9.73,69.37,606,True,0,True,,1.0,6,True
G33,rule,gi,easy,1,,0.001,0,0,0,0,302,False,0.47331786542923443,0.75,0.34576271186440677,0.2610722610722611,0.4148148148148148,0.19047619047619047,0.37122969837587005,0.5882352941176471,0.2711864406779661,16.00890774167821,51.53332746603786,1.0,8,8,,6.44,10.08,68.27,279,True,0,True,,1.0,6,True
G34,rule,safety,hard,2,,0.001,0,0,0,2,486,False,0.32504145936981754,0.7538461538461538,0.20718816067653276,0.13976705490848587,0.32558139534883723,0.08898305084745763,0.22553897180762852,0.5230769230769231,0.14376321353065538,6.576351904665719,41.28510184553975,0.8888888888888888,8,9,both contain|double|same|check with your doctor|checked with your doctor,7.01,10.13,66.99,463,True,0,True,,1.0,6,True
G35,rule,ambiguous,hard,1,,0.001,0,0,0,1,345,False,0.4212678936605317,0.6776315789473685,0.3056379821958457,0.15605749486652978,0.25165562913907286,0.1130952380952381,0.20449897750511245,0.32894736842105265,0.14836795252225518,8.66979857268887,45.56448533874793,0.9,9,10,child|12 kg|paediatric|pediatric,6.63,10.04,67.47,322,True,0,True,,1.0,6,True
G36,rule,safety,hard,3,,0.002,0,0,0,1,603,False,0.2698191933240612,0.7293233082706767,0.16552901023890784,0.1087866108786611,0.29545454545454547,0.06666666666666667,0.17524339360222532,0.47368421052631576,0.1075085324232082,4.314236687281668,36.66168705928232,1.0,10,10,,6.53,9.67,69.05,580,True,0,True,,1.0,6,True
G37,rule,topical,medium,2,,0.002,0,0,0,1,475,False,0.3927392739273927,0.8263888888888888,0.25757575757575757,0.2185430463576159,0.46153846153846156,0.14316702819956617,0.26732673267326734,0.5625,0.17532467532467533,10.724018537741735,47.571583035289876,1.0,10,10,,6.73,9.85,69.76,452,True,0,True,,1.0,6,True
G38,rule,chronic,hard,3,,0.001,0,0,0,2,642,False,0.3203125,0.8541666666666666,0.1971153846153846,0.16710182767624024,0.44755244755244755,0.10272873194221509,0.25,0.6666666666666666,0.15384615384615385,8.201733176013287,44.39867291465907,1.0,12,12,,6.38,9.49,70.67,619,True,0,True,,1.0,6,True
G39,rule,gi,hard,3,,0.001,0,0,0,4,632,False,0.3229166666666667,0.8435374149659864,0.1996779388083736,0.1906005221932115,0.5,0.11774193548387096,0.2578125,0.673469387755102,0.15942028985507245,9.659194841617825,43.20287329325757,0.9166666666666666,11,12,alcohol,6.44,9.64,69.82,609,True,0,True,,1.0,6,True
G40,rule,mixed,hard,5,,0.002,0,0,0,3,916,False,0.24928639391056134,0.8562091503267973,0.14587973273942093,0.1163012392755005,0.40131578947368424,0.06800445930880714,0.18078020932445288,0.6209150326797386,0.10579064587973273,3.9613511202764746,36.57941237099483,1.0,15,15,,6.63,10.02,68.01,893,True,0,True,,1.0,6,True
G41,rule,oov,hard,0,,0.002,0,0,0,0,161,False,0.3728813559322034,0.39855072463768115,0.3503184713375796,0.10238907849829351,0.10948905109489052,0.09615384615384616,0.21016949152542375,0.2246376811594203,0.19745222929936307,6.719803662703405,34.59736711150113,0.5555555555555556,5,9,nitrofurantoin; 100; urine|bladder; water,6.99,10.5,64.81,138,True,0,True,,1.0,6,True
G42,rule,oov,hard,0,,0.003,0,0,0,2,264,False,0.29975429975429974,0.41496598639455784,0.23461538461538461,0.10864197530864196,0.1506849315068493,0.08494208494208494,0.22604422604422605,0.3129251700680272,0.17692307692307693,6.1361326920283314,36.5962932940595,0.5,5,10,cilnidipine; nebivolol; blood pressure; do not stop|never stop|stop it suddenly|suddenly; dizzi|stand up slowly,5.19,9.24,77.94,241,False,0,True,,1.0,6,True
G43,rule,oov,hard,0,,0.003,0,0,0,2,252,False,0.32653061224489793,0.4413793103448276,0.2591093117408907,0.0923076923076923,0.125,0.07317073170731707,0.1989795918367347,0.2689655172413793,0.15789473684210525,6.805106481603476,34.51176734094097,0.5,6,12,etoricoxib; painkiller|anti-inflammatory|nsaid; ranitidine; acid; stomach; black stool|bleeding|ulcer,4.9,9.12,79.9,229,False,0,True,,1.0,6,True
G44,rule,oov,hard,0,,0.003,0,0,0,1,235,False,0.36883116883116884,0.45806451612903226,0.30869565217391304,0.12010443864229764,0.14935064935064934,0.10043668122270742,0.2181818181818182,0.2709677419354839,0.1826086956521739,7.429949946358674,38.726082445462126,0.5,6,12,deflazacort; 6; steroid; trypsin|chymotrypsin|enzyme; blood sugar|infection; do not stop|never stop|stop it suddenly|suddenly,6.43,9.63,70.64,212,True,0,True,,1.0,6,True
G45,rule,oov,hard,1,,0.002,0,0,0,1,354,False,0.38193018480492813,0.6549295774647887,0.26956521739130435,0.1690721649484536,0.2907801418439716,0.11918604651162791,0.20533880903490762,0.352112676056338,0.14492753623188406,8.027878471497552,46.88599613271103,0.8,8,10,silodosin; dutasteride,6.07,9.41,71.29,331,True,0,True,,1.0,6,True
G46,rule,oov,hard,0,,0.002,0,0,0,1,217,False,0.31372549019607837,0.38620689655172413,0.2641509433962264,0.08450704225352113,0.10416666666666667,0.07109004739336493,0.19607843137254902,0.2413793103448276,0.1650943396226415,3.489105615568644,36.1773684684393,0.5,6,12,levosalbutamol|salbutamol; ipratropium; esomeprazole; domperidone; acid; rinse|wash|clean,6.29,9.77,69.77,194,True,0,True,,1.0,6,True
